method_name,size,time
Random_Forest,5000,1777592057.4029036
Random_Forest,10000,1777592057.4027827
Random_Forest,100,1777592057.413892
Random_Forest,500,1777592057.4140332
Random_Forest,1000,1777592057.4139194
Random_Forest,5000,1777592057.4140346
Random_Forest,10000,1777592057.402975
Random_Forest,100,1777592057.4138832
Random_Forest,500,1777592057.4137418
Random_Forest,1000,1777592057.4141223
Random_Forest,5000,1777592057.4141803
Random_Forest,10000,1777592057.402309
Random_Forest,100,1777592057.4134479
Random_Forest,500,1777592057.4135077
Random_Forest,1000,1777592057.4139166
Random_Forest,5000,1777592057.4136364
Random_Forest,10000,1777592057.4024796
Random_Forest,100,1777592057.4140005
Random_Forest,500,1777592057.4142044
Random_Forest,1000,1777592057.4139175
Random_Forest,5000,1777592057.4026985
Random_Forest,10000,1777592057.402482
Random_Forest,100,1777592057.4139798
Random_Forest,500,1777592057.4141233
Random_Forest,1000,1777592057.4138932
Random_Forest,5000,1777592057.4137468
Random_Forest,10000,1777592057.4027328
Random_Forest,100,1777592057.4141684
Random_Forest,500,1777592057.4023438
Random_Forest,1000,1777592057.4136465
Random_Forest,5000,1777592057.4027364
Random_Forest,10000,1777592057.4016082
Random_Forest,100,1777592057.4015057
Random_Forest,500,1777592057.413778
Random_Forest,1000,1777592057.4115956
Random_Forest,5000,1777592057.396864
Random_Forest,10000,1777592057.40179
Random_Forest,100,1777592057.4138196
Random_Forest,500,1777592057.4140854
Random_Forest,1000,1777592057.414155
Random_Forest,5000,1777592057.4031475
Random_Forest,10000,1777592057.4024205
Random_Forest,100,1777592057.4139657
Random_Forest,500,1777592057.414449
Random_Forest,1000,1777592057.4137588
Random_Forest,5000,1777592057.4024334
Random_Forest,10000,1777592057.4026473
Random_Forest,100,1777592057.4135313
Random_Forest,500,1777592057.414474
Random_Forest,1000,1777592057.4138417
Random_Forest,5000,1777592057.4136891
Random_Forest,10000,1777592057.4019804
Random_Forest,100,1777592057.414041
Random_Forest,500,1777592057.4140909
Random_Forest,1000,1777592057.413628
Random_Forest,5000,1777592057.4013343
Random_Forest,10000,1777592057.4016585
Random_Forest,100,1777592057.4146323
Random_Forest,500,1777592057.4146104
Random_Forest,1000,1777592057.413962
Random_Forest,5000,1777592057.4025328
Random_Forest,10000,1777592057.4020112
Random_Forest,100,1777592057.4141145
Random_Forest,500,1777592057.414115
Random_Forest,1000,1777592057.4148953
Random_Forest,5000,1777592057.413831
Random_Forest,10000,1777592057.4029305
Random_Forest,100,1777592057.4140072
Random_Forest,500,1777592057.4141324
Random_Forest,1000,1777592057.414148
Random_Forest,5000,1777592057.4143693
Random_Forest,10000,1777592057.4027884
Random_Forest,100,1777592057.4138067
Random_Forest,500,1777592057.4139924
Random_Forest,1000,1777592057.4144008
Random_Forest,5000,1777592057.4021595
Random_Forest,10000,1777592057.4018743
Random_Forest,100,1777592057.4140842
Random_Forest,500,1777592057.413839
Random_Forest,1000,1777592057.4149547
Random_Forest,5000,1777592057.4028468
Random_Forest,10000,1777592057.4021122
Random_Forest,100,1777592057.4143803
Random_Forest,500,1777592057.4114106
Random_Forest,1000,1777592057.4144418
Random_Forest,5000,1777592057.4022994
Random_Forest,10000,1777592057.4013793
Random_Forest,100,1777592057.4146492
Random_Forest,500,1777592057.4135864
Random_Forest,1000,1777592057.4135551
Random_Forest,5000,1777592057.4023514
Random_Forest,10000,1777592057.4026535
Logistic_regression,100,1777592057.425818
Logistic_regression,500,1777592057.42631
Logistic_regression,1000,1777592057.4258816
Logistic_regression,5000,1777592057.4252124
Logistic_regression,10000,1777592057.424178
Logistic_regression,100,1777592057.4263828
